|tripnum     |depotcode|transporter               |vehiclereg|startdate              |stopdate               |avg_percent|loaddate                     |total_trip_time|total_distance|
|2024-0059420|EB23     |Makwande                  |KNM209MP  |2024-10-09 13:34:00.000|                       |89.92      |2024-10-09 13:30:00.000 +0200|               |0             |
|2024-0048776|EB06     |Reef Tankers              |LC21FWGP  |2024-08-20 14:23:00.000|2024-08-21 11:56:00.000|92.16      |2024-08-20 14:06:00.000 +0200|77,580         |275           |
|2024-0050047|EB23     |Makwande                  |KNP800MP  |2024-08-27 08:18:00.000|2024-08-27 17:09:00.000|87.44      |2024-08-27 08:16:00.000 +0200|31,860         |254           |
|2024-0050047|EB23     |Makwande                  |KNP802MP  |2024-08-27 08:18:00.000|2024-08-27 17:09:00.000|71.56      |2024-08-27 08:16:00.000 +0200|31,860         |254           |
|2024-0053292|EB06     |Reef Tankers              |LV19PNGP  |2024-09-10 16:52:00.000|                       |92.65      |2024-09-10 16:40:00.000 +0200|               |0             |
|2024-0055011|EB21     |Makwande                  |KN93YRGP  |2024-09-18 15:21:00.000|2024-09-18 19:57:00.000|81.9       |2024-09-18 15:21:00.000 +0200|16,560         |44            |
|2024-0055698|EB06     |Reef Tankers              |HJ73JZGP  |2024-09-22 05:07:00.000|                       |93.7       |2024-09-22 05:00:00.000 +0200|               |0             |
|2024-0052037|EA33     |Unitrans Supply Chain Sols|CAA418992 |2024-09-05 00:07:00.000|2024-09-05 19:19:00.000|94.12      |2024-09-05 00:04:00.000 +0200|69,120         |105           |
|2024-0052230|EA33     |Unitrans Supply Chain Sols|CAA548852 |2024-09-05 20:05:00.000|2024-09-06 01:45:00.000|88.96      |2024-09-05 20:03:00.000 +0200|20,400         |132           |
|2024-0061801|EB21     |Makwande                  |KN31RWGP  |2024-10-20 16:02:00.000|2024-10-20 20:30:00.000|83.31      |2024-10-20 16:01:00.000 +0200|16,080         |46            |
|2024-0062807|EB06     |Reef Tankers              |DH83YLGP  |2024-10-25 08:29:00.000|                       |90.35      |2024-10-25 08:23:00.000 +0200|               |0             |
|2024-0052469|EA33     |Unitrans Supply Chain Sols|CAA425318 |2024-09-06 22:55:00.000|2024-09-07 08:48:00.000|94.25      |2024-09-06 22:51:00.000 +0200|35,580         |97            |
|2024-0053579|EB06     |Tanker Services Fuel      |KP80MRGP  |2024-09-12 00:24:00.000|2024-09-12 08:57:00.000|92.79      |2024-09-12 00:04:00.000 +0200|30,780         |51            |
|2024-0061041|EB21     |Makwande                  |KP09PHGP  |2024-10-16 23:37:00.000|                       |86.68      |2024-10-16 23:37:00.000 +0200|               |0             |
|2024-0047091|EB23     |Makwande                  |KNP800MP  |2024-08-12 16:08:00.000|2024-08-12 19:15:00.000|59.33      |2024-08-12 16:06:00.000 +0200|11,220         |56            |
|2024-0047091|EB23     |Makwande                  |KNP802MP  |2024-08-12 16:08:00.000|2024-08-12 19:15:00.000|88.01      |2024-08-12 16:06:00.000 +0200|11,220         |56            |
|2024-0062984|EA33     |Unitrans Supply Chain Sols|CAA198211 |2024-10-25 23:07:00.000|2024-10-26 01:58:00.000|68.65      |2024-10-25 23:04:00.000 +0200|10,260         |30            |
|2024-0063388|EB21     |Makwande                  |KN67GLGP  |2024-10-28 03:01:00.000|                       |92.59      |2024-10-28 03:01:00.000 +0200|               |0             |
|2024-0052568|EB06     |Tanker Services Fuel      |KP69YDGP  |2024-09-07 12:06:00.000|2024-09-07 20:40:00.000|87.27      |2024-09-07 11:53:00.000 +0200|30,840         |73            |
|2024-0055389|EB06     |Tanker Services Fuel      |KP80MRGP  |2024-09-20 10:53:00.000|                       |83.28      |2024-09-20 10:42:00.000 +0200|               |0             |
|2024-0055630|EB21     |Makwande                  |KN23MGGP  |2024-09-21 14:57:00.000|2024-09-21 19:21:00.000|84.65      |2024-09-21 14:57:00.000 +0200|15,840         |36            |
|2024-0044846|EA35     |Unitrans Supply Chain Sols|CAA133421 |2024-08-01 08:53:00.000|                       |73.08      |2024-08-01 08:51:00.000 +0200|               |0             |
|2024-0049496|EA33     |Unitrans Supply Chain Sols|CAA329932 |2024-08-23 14:51:00.000|2024-08-23 19:35:00.000|90.69      |2024-08-23 13:56:00.000 +0200|17,040         |83            |
|2024-0050457|EB05     |Anax Logistics            |JDG641EC  |2024-08-28 16:45:00.000|                       |87.58      |2024-08-28 16:33:00.000 +0200|               |0             |
|2024-0053537|EA33     |Unitrans Supply Chain Sols|CAA130026 |2024-09-11 19:51:00.000|2024-09-11 20:07:00.000|77.97      |2024-09-11 19:47:00.000 +0200|960            |139           |
|2024-0059243|EB06     |Tanker Services Fuel      |KP69YDGP  |2024-10-08 21:07:00.000|                       |68.19      |2024-10-08 21:02:00.000 +0200|               |0             |
|2024-0062211|EA33     |Unitrans Supply Chain Sols|CAA142820 |2024-10-22 11:20:00.000|2024-10-22 17:25:00.000|83.96      |2024-10-22 11:13:00.000 +0200|21,900         |111           |
|2024-0052649|EB21     |Makwande                  |KN23LYGP  |2024-09-07 20:35:00.000|                       |86         |2024-09-07 20:05:00.000 +0200|               |0             |
|2024-0052657|EA33     |Unitrans Supply Chain Sols|CAA142820 |2024-09-07 22:32:00.000|                       |77.48      |2024-09-07 20:19:00.000 +0200|               |0             |
|2024-0055468|EA33     |Unitrans Supply Chain Sols|CAA142820 |2024-09-20 18:52:00.000|2024-09-21 00:00:00.000|89.34      |2024-09-20 18:37:00.000 +0200|18,480         |83            |
|2024-0056455|EA33     |Unitrans Supply Chain Sols|CAA425312 |2024-09-25 16:35:00.000|2024-09-25 22:46:00.000|88.25      |2024-09-25 16:26:00.000 +0200|22,260         |64            |
|2024-0046889|EB06     |Reef Tankers              |HJ73JCGP  |2024-08-11 21:18:00.000|                       |93.99      |2024-08-11 21:12:00.000 +0200|               |0             |
|2024-0062105|EA33     |Unitrans Supply Chain Sols|CAA173582 |2024-10-22 00:00:00.000|                       |94.37      |2024-10-21 23:59:00.000 +0200|               |0             |
|2024-0052802|EB06     |Reef Tankers              |LC21FHGP  |2024-09-08 23:01:00.000|                       |92.54      |2024-09-08 22:48:00.000 +0200|               |0             |
|2024-0057603|EB06     |Reef Tankers              |DX35GDGP  |2024-10-01 11:06:00.000|                       |84.5       |2024-10-01 10:52:00.000 +0200|               |0             |
|2024-0059268|EA33     |Unitrans Supply Chain Sols|CAA198211 |2024-10-08 23:07:00.000|2024-10-09 01:52:00.000|92.15      |2024-10-08 23:03:00.000 +0200|9,900          |59            |
|2024-0054536|EA33     |Unitrans Supply Chain Sols|CAA192673 |2024-09-16 15:52:00.000|2024-09-16 22:19:00.000|81.85      |2024-09-16 15:35:00.000 +0200|23,220         |91            |
|2024-0057298|EA33     |Unitrans Supply Chain Sols|CAA170724 |2024-09-30 03:13:00.000|2024-09-30 14:32:00.000|94.94      |2024-09-30 02:55:00.000 +0200|40,740         |133           |
|2024-0059849|EA33     |Makwande                  |KP09PHGP  |2024-10-11 12:21:00.000|                       |89.3       |2024-10-11 12:11:00.000 +0200|               |0             |
|2024-0049740|EA33     |Unitrans Supply Chain Sols|CAA198211 |2024-08-25 00:26:00.000|2024-08-25 15:51:00.000|93.64      |2024-08-25 00:24:00.000 +0200|55,500         |14            |
|2024-0057611|EB21     |Makwande                  |KP09PHGP  |2024-10-01 11:31:00.000|                       |77.66      |2024-10-01 11:31:00.000 +0200|               |0             |
|2024-0060270|EA33     |Unitrans Supply Chain Sols|CAA425312 |2024-10-13 19:00:00.000|2024-10-14 06:00:00.000|87.23      |2024-10-13 18:59:00.000 +0200|39,600         |70            |
|2024-0046170|EB23     |Makwande                  |KNP803MP  |2024-08-07 20:22:00.000|                       |77.96      |2024-08-07 20:22:00.000 +0200|               |0             |
|2024-0046170|EB23     |Makwande                  |KNM191MP  |2024-08-07 20:22:00.000|                       |90.68      |2024-08-07 20:22:00.000 +0200|               |0             |
|2024-0047879|EB06     |Tanker Services Fuel      |KP80GGGP  |2024-08-16 09:28:00.000|                       |91.75      |2024-08-16 09:20:00.000 +0200|               |0             |
|2024-0049975|EA33     |Unitrans Supply Chain Sols|CAA192673 |2024-08-26 19:58:00.000|2024-08-26 22:53:00.000|54.74      |2024-08-26 19:54:00.000 +0200|10,500         |87            |
|2024-0061840|EB21     |Makwande                  |JNG703MP  |2024-10-20 22:22:00.000|2024-10-21 12:40:00.000|0          |2024-10-20 22:20:00.000 +0200|51,480         |73            |
|2024-0061840|EB21     |Makwande                  |JNG701MP  |2024-10-20 22:22:00.000|2024-10-21 12:40:00.000|93.41      |2024-10-20 22:20:00.000 +0200|51,480         |73            |
|2024-0063315|EA33     |Unitrans Supply Chain Sols|CAA419040 |2024-10-27 17:11:00.000|2024-10-27 23:47:00.000|94.02      |2024-10-27 17:10:00.000 +0200|23,760         |100           |
|2024-0053928|EB21     |Makwande                  |KS49XBGP  |2024-09-13 13:19:00.000|                       |94.19      |2024-09-13 13:18:00.000 +0200|               |0             |
|2024-0053928|EB21     |Makwande                  |KS49VWGP  |2024-09-13 13:19:00.000|                       |82.66      |2024-09-13 13:18:00.000 +0200|               |0             |
|2024-0047239|EB23     |Makwande                  |KPR059MP  |2024-08-13 10:03:00.000|2024-08-13 17:00:00.000|87.99      |2024-08-13 09:55:00.000 +0200|25,020         |252           |
|2024-0049086|EB21     |Makwande                  |KN67GLGP  |2024-08-21 22:15:00.000|2024-08-22 01:36:00.000|70.51      |2024-08-21 22:15:00.000 +0200|12,060         |58            |
|2024-0049981|EB06     |Tanker Services Fuel      |KP55MSGP  |2024-08-26 20:09:00.000|2024-08-27 08:41:00.000|84.1       |2024-08-26 19:47:00.000 +0200|45,120         |102           |
|2024-0055596|EA33     |Unitrans Supply Chain Sols|CAA192673 |2024-09-21 12:10:00.000|2024-09-21 15:21:00.000|83.25      |2024-09-21 11:59:00.000 +0200|11,460         |59            |
|2024-0060112|EA33     |Unitrans Supply Chain Sols|CAA425438 |2024-10-12 19:36:00.000|                       |84.54      |2024-10-12 19:35:00.000 +0200|               |0             |
|2024-0045412|EA33     |Reef Tankers              |LV19PDGP  |2024-08-04 09:26:00.000|2024-08-04 21:49:00.000|93.18      |2024-08-04 09:23:00.000 +0200|44,580         |364           |
|2024-0046755|EB06     |Tanker Services Fuel      |KP55MSGP  |2024-08-11 08:14:00.000|2024-08-11 21:30:00.000|93.87      |2024-08-11 08:05:00.000 +0200|47,760         |423           |
|2024-0048977|EA33     |Unitrans Supply Chain Sols|CAA419011 |2024-08-21 11:46:00.000|                       |91.43      |2024-08-21 11:45:00.000 +0200|               |0             |
|2024-0049892|EB08     |Tanker Services Fuel      |KR53HNGP  |2024-08-26 12:14:00.000|2024-08-27 10:16:00.000|65.55      |2024-08-26 10:44:00.000 +0200|79,320         |214           |
|2024-0053107|EA33     |Unitrans Supply Chain Sols|CAA192673 |2024-09-10 00:36:00.000|                       |53.93      |2024-09-10 00:28:00.000 +0200|               |0             |
|2024-0053981|EB06     |Tanker Services Fuel      |KP80MRGP  |2024-09-13 17:15:00.000|                       |89.56      |2024-09-13 16:52:00.000 +0200|               |0             |
|2024-0060827|EA35     |Unitrans Supply Chain Sols|CAA306835 |2024-10-16 07:39:00.000|                       |73.11      |2024-10-16 07:31:00.000 +0200|               |0             |
|2024-0045161|EB21     |Makwande                  |KN31RWGP  |2024-08-02 20:03:00.000|                       |91.5       |2024-08-02 19:58:00.000 +0200|               |0             |
|2024-0047791|EA33     |Unitrans Supply Chain Sols|CAA192673 |2024-08-15 19:55:00.000|2024-08-16 09:35:00.000|82.81      |2024-08-15 19:33:00.000 +0200|49,200         |75            |
|2024-0051126|EB21     |Makwande                  |KN31RWGP  |                       |                       |75.61      |                             |               |259           |
|2024-0051136|EB21     |Unitrans Supply Chain Sols|CAA457059 |                       |                       |84.79      |                             |               |247           |
|2024-0062360|EB08     |Tanker Services Fuel      |KR53HNGP  |2024-10-23 07:10:00.000|2024-10-23 18:35:00.000|51.8       |2024-10-23 07:04:00.000 +0200|41,100         |447           |
|2024-0062480|EA33     |Unitrans Supply Chain Sols|CAA425438 |2024-10-23 16:11:00.000|2024-10-23 23:46:00.000|90.4       |2024-10-23 16:08:00.000 +0200|27,300         |129           |
|2024-0062849|EB23     |Makwande                  |KNM209MP  |2024-10-25 10:58:00.000|2024-10-25 18:00:00.000|86.86      |2024-10-25 10:41:00.000 +0200|25,320         |246           |
|2024-0063136|EB21     |Makwande                  |KS49WFGP  |2024-10-26 16:37:00.000|2024-10-27 01:34:00.000|75.38      |2024-10-26 16:37:00.000 +0200|32,220         |129           |
|2024-0063136|EB21     |Makwande                  |KS49XBGP  |2024-10-26 16:37:00.000|2024-10-27 01:34:00.000|90.97      |2024-10-26 16:37:00.000 +0200|32,220         |129           |
|2024-0046598|EB21     |Makwande                  |KN93YRGP  |2024-08-10 01:37:00.000|                       |91.57      |2024-08-10 01:32:00.000 +0200|               |0             |
|2024-0055332|EA35     |Unitrans Supply Chain Sols|CAA330049 |2024-09-20 08:06:00.000|                       |92.24      |2024-09-20 08:06:00.000 +0200|               |0             |
|2024-0055611|EB21     |Makwande                  |KS49WFGP  |2024-09-21 12:58:00.000|2024-09-22 07:06:00.000|93.6       |2024-09-21 12:58:00.000 +0200|65,280         |76            |
|2024-0055611|EB21     |Makwande                  |KS49XBGP  |2024-09-21 12:58:00.000|2024-09-22 07:06:00.000|85.33      |2024-09-21 12:58:00.000 +0200|65,280         |76            |
|2024-0060358|EB06     |Tanker Services Fuel      |HG68LCGP  |2024-10-14 09:14:00.000|2024-10-14 12:10:00.000|42.73      |2024-10-14 09:10:00.000 +0200|10,560         |25            |
|2024-0060263|EA33     |Unitrans Supply Chain Sols|CAA425307 |2024-10-13 17:34:00.000|2024-10-14 02:04:00.000|87.91      |2024-10-13 17:31:00.000 +0200|30,600         |90            |
|2024-0051645|EB21     |Unitrans Supply Chain Sols|CAA130019 |                       |                       |93.58      |                             |               |222           |
|2024-0059716|EB06     |Tanker Services Fuel      |KP70BFGP  |2024-10-10 21:13:00.000|2024-10-11 02:20:00.000|91.26      |2024-10-10 21:01:00.000 +0200|18,420         |95            |
|2024-0046977|EB08     |Tanker Services Fuel      |KP80LYGP  |2024-08-12 10:25:00.000|                       |58.14      |2024-08-12 08:49:00.000 +0200|               |0             |
|2024-0047775|EA33     |Unitrans Supply Chain Sols|CAA425438 |2024-08-15 17:26:00.000|2024-08-16 00:15:00.000|86.89      |2024-08-15 16:41:00.000 +0200|24,540         |143           |
|2024-0048347|EA33     |Unitrans Supply Chain Sols|CAA418992 |2024-08-18 22:25:00.000|                       |89.06      |2024-08-18 22:22:00.000 +0200|               |0             |
|2024-0047295|EB21     |Makwande                  |KP41VSGP  |2024-08-13 12:49:00.000|2024-08-13 18:00:00.000|71.87      |2024-08-13 12:44:00.000 +0200|18,660         |175           |
|2024-0047374|EB06     |Tanker Services Fuel      |KP69YSGP  |2024-08-13 20:46:00.000|2024-08-14 00:50:00.000|78.23      |2024-08-13 20:33:00.000 +0200|14,640         |27            |
|2024-0052606|EA33     |Unitrans Supply Chain Sols|CAA425430 |2024-09-07 15:01:00.000|2024-09-07 18:16:00.000|87.05      |2024-09-07 12:06:00.000 +0200|11,700         |128           |
|2024-0045755|EB21     |Makwande                  |KNF950MP  |2024-08-05 21:13:00.000|2024-08-05 23:38:00.000|71.25      |2024-08-05 21:13:00.000 +0200|8,700          |23            |
|2024-0047344|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-08-13 16:20:00.000|2024-08-13 23:50:00.000|93.24      |2024-08-13 15:48:00.000 +0200|27,000         |139           |
|2024-0047367|EB23     |Makwande                  |KNM197MP  |2024-08-13 19:19:00.000|2024-08-13 22:00:00.000|52.57      |2024-08-13 19:19:00.000 +0200|9,660          |65            |
|2024-0048054|EB06     |Tanker Services Fuel      |KP74KMGP  |2024-08-16 21:35:00.000|2024-08-17 08:39:00.000|81.94      |2024-08-16 21:26:00.000 +0200|39,840         |80            |
|2024-0048054|EB06     |Tanker Services Fuel      |KP80ZYGP  |2024-08-16 21:35:00.000|2024-08-17 08:39:00.000|70.44      |2024-08-16 21:26:00.000 +0200|39,840         |80            |
|2024-0050526|EB21     |Unitrans Supply Chain Sols|CAA425312 |2024-08-29 00:28:00.000|2024-08-29 20:26:00.000|82         |2024-08-29 00:28:00.000 +0200|71,880         |631           |
|2024-0053672|EB05     |Tanker Services Fuel      |KP70DSGP  |2024-09-12 11:07:00.000|                       |91.42      |2024-09-12 10:56:00.000 +0200|               |0             |
|2024-0054061|EB06     |Reef Tankers              |HJ95MFGP  |2024-09-14 02:30:00.000|                       |94.36      |2024-09-14 02:24:00.000 +0200|               |0             |
|2024-0055732|EB06     |Tanker Services Fuel      |KP80GGGP  |2024-09-22 11:52:00.000|                       |79.35      |2024-09-22 11:20:00.000 +0200|               |0             |
|2024-0045401|EB21     |Makwande                  |KN31RWGP  |2024-08-04 07:52:00.000|2024-08-04 20:00:00.000|91.1       |2024-08-04 07:52:00.000 +0200|43,680         |534           |
|2024-0051696|EA33     |Unitrans Supply Chain Sols|CAA418992 |                       |                       |90.22      |                             |               |79            |
|2024-0052758|EB21     |Makwande                  |KN23LYGP  |2024-09-08 16:25:00.000|                       |91.29      |2024-09-08 16:25:00.000 +0200|               |0             |
|2024-0054897|EA35     |Unitrans Supply Chain Sols|CAA419011 |2024-09-18 08:44:00.000|2024-09-18 14:17:00.000|91.68      |2024-09-18 08:39:00.000 +0200|19,980         |371           |
|2024-0056878|EB06     |Reef Tankers              |LV19PNGP  |2024-09-27 16:36:00.000|                       |92.03      |2024-09-27 16:13:00.000 +0200|               |0             |
|2024-0057397|EB05     |Tanker Services Fuel      |KP70CBGP  |2024-09-30 11:32:00.000|                       |91.96      |2024-09-30 11:31:00.000 +0200|               |0             |
|2024-0058540|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-10-05 17:14:00.000|2024-10-05 21:45:00.000|93.26      |2024-10-05 16:44:00.000 +0200|16,260         |51            |
|2024-0049600|EB06     |ManLine Energy            |KPV575MP  |2024-08-24 09:16:00.000|                       |92.39      |2024-08-24 09:04:00.000 +0200|               |0             |
|2024-0056983|EB21     |Makwande                  |KN23LXGP  |2024-09-28 09:12:00.000|                       |82.81      |2024-09-28 09:09:00.000 +0200|               |0             |
|2024-0046898|EA33     |Unitrans Supply Chain Sols|CAA192673 |2024-08-11 22:44:00.000|2024-08-12 13:03:00.000|87.67      |2024-08-11 22:38:00.000 +0200|51,540         |86            |
|2024-0045353|EB21     |Makwande                  |KNF950MP  |2024-08-03 20:15:00.000|                       |86.92      |2024-08-03 20:06:00.000 +0200|               |0             |
|2024-0060042|EB21     |Makwande                  |KS49WRGP  |2024-10-12 13:48:00.000|2024-10-12 21:30:00.000|57.66      |2024-10-12 13:48:00.000 +0200|27,720         |51            |
|2024-0060042|EB21     |Makwande                  |KS49XLGP  |2024-10-12 13:48:00.000|2024-10-12 21:30:00.000|63.91      |2024-10-12 13:48:00.000 +0200|27,720         |51            |
|2024-0046091|EB21     |Makwande                  |KN31RWGP  |2024-08-07 12:21:00.000|2024-08-07 18:40:00.000|84.39      |2024-08-07 12:13:00.000 +0200|22,740         |54            |
|2024-0047127|EB23     |Makwande                  |KNM209MP  |2024-08-12 19:46:00.000|2024-08-12 21:45:00.000|57.77      |2024-08-12 19:44:00.000 +0200|7,140          |29            |
|2024-0049374|EB06     |Tanker Services Fuel      |KP70BFGP  |2024-08-23 08:55:00.000|                       |94.61      |2024-08-23 08:41:00.000 +0200|               |0             |
|2024-0050292|EA33     |Unitrans Supply Chain Sols|CAA130026 |2024-08-28 08:10:00.000|2024-08-28 13:22:00.000|67.35      |2024-08-28 08:07:00.000 +0200|18,720         |112           |
|2024-0055095|EB23     |Makwande                  |KNM193MP  |2024-09-19 00:36:00.000|                       |67.59      |2024-09-19 00:34:00.000 +0200|               |0             |
|2024-0059320|EA33     |Unitrans Supply Chain Sols|CAA425312 |2024-10-09 07:51:00.000|                       |92.58      |2024-10-09 07:46:00.000 +0200|               |0             |
|2024-0059441|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-10-09 15:07:00.000|                       |92.59      |2024-10-09 15:00:00.000 +0200|               |0             |
|2024-0050011|EA33     |Unitrans Supply Chain Sols|CAA130026 |2024-08-27 01:05:00.000|2024-08-27 17:26:00.000|80.01      |2024-08-27 01:01:00.000 +0200|58,860         |435           |
|2024-0052184|EB06     |Tanker Services Fuel      |KP69WCGP  |2024-09-05 16:29:00.000|2024-09-06 10:38:00.000|78.86      |2024-09-05 16:19:00.000 +0200|65,340         |399           |
|2024-0052644|EA33     |Unitrans Supply Chain Sols|CAA329952 |2024-09-07 19:43:00.000|                       |76.15      |2024-09-07 19:39:00.000 +0200|               |0             |
|2024-0054247|EA33     |Unitrans Supply Chain Sols|CAA419006 |2024-09-15 00:13:00.000|2024-09-15 15:28:00.000|91.69      |2024-09-15 00:10:00.000 +0200|54,900         |104           |
|2024-0057096|EB21     |Makwande                  |KR18VMGP  |2024-09-28 20:25:00.000|                       |94.44      |2024-09-28 20:25:00.000 +0200|               |0             |
|2024-0058432|EA35     |Unitrans Supply Chain Sols|CAA306835 |2024-10-05 08:27:00.000|                       |88.28      |2024-10-05 08:27:00.000 +0200|               |0             |
|2024-0058685|EB06     |Makwande                  |LB67VBGP  |2024-10-06 12:00:00.000|                       |94.9       |2024-10-06 11:57:00.000 +0200|               |0             |
|2024-0045351|EB06     |Reef Tankers              |HJ73JZGP  |2024-08-03 19:17:00.000|                       |94.31      |2024-08-03 19:11:00.000 +0200|               |0             |
|2024-0045338|EA33     |Unitrans Supply Chain Sols|CAA418992 |2024-08-03 15:57:00.000|                       |90.53      |2024-08-03 15:53:00.000 +0200|               |0             |
|2024-0045338|EA33     |Unitrans Supply Chain Sols|CAA418992 |2024-08-03 15:57:00.000|2024-08-03 21:10:00.000|90.53      |2024-08-03 15:53:00.000 +0200|18,780         |71            |
|2024-0047756|EB08     |Tanker Services Fuel      |KP69ZRGP  |2024-08-15 18:00:00.000|2024-08-16 05:57:00.000|85.97      |2024-08-15 15:08:00.000 +0200|43,020         |318           |
|2024-0051549|EA33     |Unitrans Supply Chain Sols|CAA419006 |                       |                       |94.03      |                             |               |66            |
|2024-0062746|EB06     |Tanker Services Fuel      |KP80MRGP  |2024-10-24 21:48:00.000|2024-10-25 20:36:00.000|91.9       |2024-10-24 21:45:00.000 +0200|82,080         |260           |
|2024-0056506|EB23     |Makwande                  |KR60ZBGP  |2024-09-25 22:34:00.000|                       |43.94      |2024-09-25 22:29:00.000 +0200|               |0             |
|2024-0057057|EA33     |Unitrans Supply Chain Sols|CAA329932 |2024-09-28 14:54:00.000|                       |87.07      |2024-09-28 14:53:00.000 +0200|               |0             |
|2024-0057982|EB21     |Makwande                  |KS49WFGP  |2024-10-03 04:03:00.000|                       |89.85      |2024-10-03 04:03:00.000 +0200|               |0             |
|2024-0058067|EB06     |Tanker Services Fuel      |KP69XNGP  |2024-10-03 12:31:00.000|                       |90.89      |2024-10-03 12:23:00.000 +0200|               |0             |
|2024-0060503|EB23     |Makwande                  |KR60ZBGP  |2024-10-14 17:48:00.000|                       |69.74      |2024-10-14 17:48:00.000 +0200|               |0             |
|2024-0060581|EB21     |Makwande                  |KP75JPGP  |2024-10-15 01:30:00.000|                       |68.64      |2024-10-15 01:30:00.000 +0200|               |0             |
|2024-0046632|EA33     |Unitrans Supply Chain Sols|CAA130019 |2024-08-10 10:14:00.000|2024-08-10 22:30:00.000|80.51      |2024-08-10 10:08:00.000 +0200|44,160         |138           |
|2024-0047163|EB06     |Tanker Services Fuel      |KS68YTGP  |2024-08-12 23:08:00.000|2024-08-13 09:19:00.000|76.58      |2024-08-12 23:02:00.000 +0200|36,660         |60            |
|2024-0047163|EB06     |Tanker Services Fuel      |KR89BYGP  |2024-08-12 23:08:00.000|2024-08-13 09:19:00.000|71.76      |2024-08-12 23:02:00.000 +0200|36,660         |60            |
|2024-0047829|EB06     |Tanker Services Fuel      |KR89BYGP  |2024-08-16 00:50:00.000|                       |91.82      |2024-08-16 00:38:00.000 +0200|               |0             |
|2024-0047829|EB06     |Tanker Services Fuel      |KS68YTGP  |2024-08-16 00:50:00.000|                       |88.34      |2024-08-16 00:38:00.000 +0200|               |0             |
|2024-0049270|EB06     |Reef Tankers              |HJ29LCGP  |2024-08-22 15:41:00.000|                       |94.49      |2024-08-22 15:23:00.000 +0200|               |0             |
|2024-0051535|EB21     |Makwande                  |KN23MGGP  |                       |                       |58.68      |                             |               |440           |
|2024-0056302|EB21     |Makwande                  |KN23LYGP  |2024-09-25 06:00:00.000|                       |56.32      |2024-09-25 01:29:00.000 +0200|               |0             |
|2024-0057141|EB21     |Makwande                  |KS49WFGP  |2024-09-29 08:09:00.000|2024-09-29 13:40:00.000|81.08      |2024-09-29 08:09:00.000 +0200|19,860         |146           |
|2024-0057141|EB21     |Makwande                  |KS49XBGP  |2024-09-29 08:09:00.000|2024-09-29 13:40:00.000|88.61      |2024-09-29 08:09:00.000 +0200|19,860         |146           |
|2024-0060465|EB06     |Reef Tankers              |LV19PDGP  |2024-10-14 14:46:00.000|                       |91.07      |2024-10-14 14:41:00.000 +0200|               |0             |
|2024-0060146|EB21     |Makwande                  |KS49WFGP  |2024-10-13 02:57:00.000|2024-10-13 14:58:00.000|92.17      |2024-10-13 02:57:00.000 +0200|43,260         |240           |
|2024-0060146|EB21     |Makwande                  |KS49XBGP  |2024-10-13 02:57:00.000|2024-10-13 14:58:00.000|82.62      |2024-10-13 02:57:00.000 +0200|43,260         |240           |
|2024-0060076|EB23     |Makwande                  |KNP800MP  |2024-10-12 17:47:00.000|                       |78.4       |2024-10-12 17:46:00.000 +0200|               |0             |
|2024-0046684|EA33     |Unitrans Supply Chain Sols|CAA425318 |2024-08-10 15:05:00.000|2024-08-10 23:11:00.000|88.38      |2024-08-10 15:02:00.000 +0200|29,160         |78            |
|2024-0052617|EA33     |Unitrans Supply Chain Sols|CAA329952 |2024-09-07 16:09:00.000|2024-09-07 19:16:00.000|38.15      |2024-09-07 13:59:00.000 +0200|11,220         |22            |
|2024-0054539|EA33     |Unitrans Supply Chain Sols|CAA329952 |2024-09-16 15:59:00.000|                       |79.53      |2024-09-16 15:42:00.000 +0200|               |0             |
|2024-0059924|EB23     |Makwande                  |KNM209MP  |2024-10-11 19:28:00.000|                       |82.98      |2024-10-11 19:26:00.000 +0200|               |0             |
|2024-0061350|EB05     |Tanker Services Fuel      |KP70DSGP  |2024-10-18 10:02:00.000|                       |88.99      |2024-10-18 09:40:00.000 +0200|               |0             |
|2024-0048512|EB06     |Tanker Services Fuel      |KP80NNGP  |2024-08-19 13:49:00.000|2024-08-20 09:12:00.000|93.15      |2024-08-19 13:18:00.000 +0200|69,780         |246           |
|2024-0048274|EB06     |Reef Tankers              |LC21FWGP  |2024-08-18 00:41:00.000|                       |92.47      |2024-08-18 00:33:00.000 +0200|               |0             |
|2024-0049812|EA33     |Unitrans Supply Chain Sols|CAA198199 |2024-08-25 23:47:00.000|2024-08-26 12:25:00.000|52.89      |2024-08-25 23:42:00.000 +0200|45,480         |148           |
|2024-0051099|EB06     |Tanker Services Fuel      |KP80ZYGP  |2024-08-31 22:03:00.000|                       |94.48      |2024-08-31 21:50:00.000 +0200|               |0             |
|2024-0062447|EA33     |Unitrans Supply Chain Sols|CAA418992 |2024-10-23 13:31:00.000|2024-10-23 20:21:00.000|93.51      |2024-10-23 13:25:00.000 +0200|24,600         |142           |
|2024-0053578|EB21     |Makwande                  |KN23LXGP  |2024-09-11 23:59:00.000|                       |94.49      |2024-09-11 23:59:00.000 +0200|               |0             |
|2024-0058307|EB21     |Makwande                  |KS49WLGP  |2024-10-04 13:39:00.000|2024-10-04 20:00:00.000|91.89      |2024-10-04 13:39:00.000 +0200|22,860         |20            |
