"tripnum","depotcode","transporter","vehiclereg","startdate","stopdate","avg_percent","loaddate","total_trip_time","total_distance"
"2024-0050424",EB21,Makwande,KS49VWGP,2024-08-28 15:40:00.000,2024-08-28 22:13:00.000,83.32,2024-08-28 15:39:00.000 +0200,23580.0,141
"2024-0053475",EA33,Unitrans Supply Chain Sols,CAA130026,2024-09-11 14:09:00.000,2024-09-11 19:32:00.000,75.31,2024-09-11 14:03:00.000 +0200,19380.0,111
"2024-0054954",EB06,Tanker Services Fuel,KP55MSGP,2024-09-18 10:39:00.000,2024-09-18 21:44:00.000,94.07,2024-09-18 10:28:00.000 +0200,39900.0,111
"2024-0063526",EB21,Makwande,KS49XBGP,2024-10-28 13:57:00.000,2024-10-28 16:59:00.000,94.12,2024-10-28 13:57:00.000 +0200,10920.0,60
"2024-0063526",EB21,Makwande,KS49WFGP,2024-10-28 13:57:00.000,2024-10-28 16:59:00.000,94.35,2024-10-28 13:57:00.000 +0200,10920.0,60
"2024-0063811",EB21,Makwande,KN23LXGP,2024-10-29 20:45:00.000,,89.9,2024-10-29 20:44:00.000 +0200,,0
"2024-0046182",EB06,Tanker Services Fuel,KP80MRGP,2024-08-07 21:35:00.000,2024-08-08 01:11:00.000,89.58,2024-08-07 21:09:00.000 +0200,12960.0,27
"2024-0046742",EA33,Unitrans Supply Chain Sols,CAA329952,2024-08-11 00:33:00.000,2024-08-11 13:53:00.000,80.08,2024-08-11 00:23:00.000 +0200,48000.0,214
"2024-0055284",EB21,Makwande,KP41VSGP,2024-09-19 21:53:00.000,,91.26,2024-09-19 21:53:00.000 +0200,,0
"2024-0059213",EB06,Tanker Services Fuel,KP80HXGP,2024-10-08 17:12:00.000,,92.66,2024-10-08 17:04:00.000 +0200,,0
"2024-0059483",EB21,Makwande,KP57DGGP,2024-10-09 19:23:00.000,,92.19,2024-10-09 19:20:00.000 +0200,,0
"2024-0062210",EB23,Makwande,KNM191MP,2024-10-22 11:06:00.000,,54.71,2024-10-22 11:05:00.000 +0200,,0
"2024-0062210",EB23,Makwande,KNP803MP,2024-10-22 11:06:00.000,,89.51,2024-10-22 11:05:00.000 +0200,,0
"2024-0059925",EB21,Makwande,KP41VSGP,2024-10-11 19:42:00.000,,47.37,2024-10-11 19:42:00.000 +0200,,0
"2024-0047949",EA33,Unitrans Supply Chain Sols,CAA170724,2024-08-16 11:47:00.000,2024-08-16 20:41:00.000,61.15,2024-08-16 11:33:00.000 +0200,32040.0,79
"2024-0054363",EA33,Unitrans Supply Chain Sols,CAA419006,2024-09-15 23:25:00.000,2024-09-16 19:41:00.000,93.52,2024-09-15 23:21:00.000 +0200,72960.0,310
"2024-0054644",EB23,Makwande,KNM197MP,2024-09-17 01:07:00.000,,51.54,2024-09-17 01:05:00.000 +0200,,0
"2024-0056937",EA33,Unitrans Supply Chain Sols,CAA425312,2024-09-27 23:47:00.000,2024-09-28 07:36:00.000,89.8,2024-09-27 23:42:00.000 +0200,28140.0,86
"2024-0057744",EB21,Makwande,KN23LXGP,2024-10-02 03:25:00.000,2024-10-02 11:30:00.000,56.72,2024-10-02 03:23:00.000 +0200,29100.0,48
"2024-0045238",EB21,Makwande,KN23LYGP,2024-08-03 08:24:00.000,,74.0,2024-08-03 08:24:00.000 +0200,,0
"2024-0045238",EB21,Makwande,KN23LYGP,2024-08-03 08:24:00.000,2024-08-03 13:30:00.000,74.0,2024-08-03 08:24:00.000 +0200,18360.0,120
"2024-0058624",EB06,Reef Tankers,LV19PXGP,2024-10-06 08:30:00.000,,92.41,2024-10-06 08:24:00.000 +0200,,0
"2024-0058769",EB06,Tanker Services Fuel,KP80MRGP,2024-10-06 21:35:00.000,,88.09,2024-10-06 21:33:00.000 +0200,,0
"2024-0054849",EB21,Unitrans Supply Chain Sols,CAA425318,2024-09-17 21:56:00.000,,85.1,2024-09-17 21:54:00.000 +0200,,0
"2024-0055812",EB06,Tanker Services Fuel,KP70CRGP,2024-09-22 20:30:00.000,,90.87,2024-09-22 20:12:00.000 +0200,,0
"2024-0056024",EB06,Reef Tankers,LV19NYGP,2024-09-23 16:30:00.000,,93.37,2024-09-23 16:13:00.000 +0200,,0
"2024-0057722",EA33,Unitrans Supply Chain Sols,CAA170724,2024-10-01 23:10:00.000,2024-10-02 09:27:00.000,61.66,2024-10-01 22:37:00.000 +0200,37020.0,67
"2024-0045225",EA33,Unitrans Supply Chain Sols,CAA419040,2024-08-03 02:44:00.000,,88.14,2024-08-03 02:25:00.000 +0200,,0
"2024-0045225",EA33,Unitrans Supply Chain Sols,CAA419040,2024-08-03 02:44:00.000,2024-08-03 10:16:00.000,88.14,2024-08-03 02:25:00.000 +0200,27120.0,37
"2024-0048053",EB06,Tanker Services Fuel,KP69YSGP,2024-08-16 21:22:00.000,,90.94,2024-08-16 21:09:00.000 +0200,,0
"2024-0048133",EB06,Tanker Services Fuel,KP80HXGP,2024-08-17 10:26:00.000,2024-08-17 14:12:00.000,92.43,2024-08-17 10:20:00.000 +0200,13560.0,54
"2024-0051589",EB23,Makwande,KNP800MP,,,29.08,,,528
"2024-0051589",EB23,Makwande,KNP802MP,,,70.17,,,528
"2024-0060323",EB06,Tanker Services Fuel,HG68LCGP,2024-10-14 02:15:00.000,,94.94,2024-10-14 02:12:00.000 +0200,,0
"2024-0060723",EA33,Unitrans Supply Chain Sols,CAA173582,2024-10-15 16:29:00.000,2024-10-16 10:08:00.000,93.92,2024-10-15 16:25:00.000 +0200,63540.0,117
"2024-0047816",EB06,Tanker Services Fuel,KP80MRGP,2024-08-15 21:57:00.000,,60.4,2024-08-15 21:44:00.000 +0200,,0
"2024-0048609",EB21,Makwande,KP41VSGP,2024-08-19 20:30:00.000,2024-08-19 22:10:00.000,42.07,2024-08-19 20:30:00.000 +0200,6000.0,11
"2024-0062821",EB21,Makwande,KN23LYGP,2024-10-25 09:28:00.000,2024-10-25 13:58:00.000,93.8,2024-10-25 09:27:00.000 +0200,16200.0,54
"2024-0062934",EB23,Makwande,KNP802MP,2024-10-25 18:31:00.000,2024-10-25 20:48:00.000,92.23,2024-10-25 18:28:00.000 +0200,8220.0,12
"2024-0062934",EB23,Makwande,KNP800MP,2024-10-25 18:31:00.000,2024-10-25 20:48:00.000,41.25,2024-10-25 18:28:00.000 +0200,8220.0,12
"2024-0063248",EB06,Tanker Services Fuel,KP69YSGP,2024-10-27 11:38:00.000,2024-10-27 21:07:00.000,39.31,2024-10-27 11:30:00.000 +0200,34140.0,61
"2024-0047554",EB06,Tanker Services Fuel,HG68LCGP,2024-08-14 15:51:00.000,,88.25,2024-08-14 15:43:00.000 +0200,,0
"2024-0049827",EB23,Makwande,KNM193MP,2024-08-26 02:01:00.000,,74.6,2024-08-26 02:01:00.000 +0200,,0
"2024-0062928",EB05,Tanker Services Fuel,KP69WYGP,2024-10-25 17:12:00.000,2024-10-26 07:10:00.000,91.87,2024-10-25 17:07:00.000 +0200,50280.0,147
"2024-0057695",EA33,Unitrans Supply Chain Sols,CAA548852,2024-10-01 19:57:00.000,,74.24,2024-10-01 19:45:00.000 +0200,,0
"2024-0044921",EB06,Tanker Services Fuel,HG68LCGP,2024-08-01 12:48:00.000,,42.74,2024-08-01 12:02:00.000 +0200,,0
"2024-0044921",EB06,Tanker Services Fuel,HG68LCGP,2024-08-01 12:48:00.000,2024-08-01 20:17:00.000,42.74,2024-08-01 12:02:00.000 +0200,26940.0,27
"2024-0054376",EA33,Unitrans Supply Chain Sols,CAA142820,2024-09-16 00:11:00.000,2024-09-16 15:55:00.000,79.42,2024-09-16 00:07:00.000 +0200,56640.0,103
"2024-0055773",EB21,Makwande,KP75JPGP,2024-09-22 01:21:00.000,2024-09-23 07:50:00.000,94.24,2024-09-22 01:21:00.000 +0200,109740.0,599
"2024-0055937",EB21,Makwande,KN23LXGP,2024-09-23 10:30:00.000,,81.18,2024-09-23 10:30:00.000 +0200,,0
"2024-0056984",EB21,Makwande,KP41VSGP,2024-09-28 09:23:00.000,2024-09-28 18:05:00.000,91.07,2024-09-28 09:22:00.000 +0200,31320.0,247
"2024-0058391",EA33,Unitrans Supply Chain Sols,CAA457059,2024-10-04 22:09:00.000,2024-10-05 07:57:00.000,91.86,2024-10-04 20:50:00.000 +0200,35280.0,90
"2024-0059502",EB21,Makwande,KS49XLGP,2024-10-09 20:59:00.000,2024-10-10 00:30:00.000,92.49,2024-10-09 20:59:00.000 +0200,12660.0,59
"2024-0060022",EB23,Makwande,KR60ZBGP,2024-10-12 11:41:00.000,,68.24,2024-10-12 11:39:00.000 +0200,,0
"2024-0045464",EA33,Unitrans Supply Chain Sols,CAA198199,2024-08-04 13:51:00.000,2024-08-04 19:02:00.000,93.31,2024-08-04 13:48:00.000 +0200,18660.0,22
"2024-0046426",EA33,Unitrans Supply Chain Sols,CAA419040,2024-08-09 02:54:00.000,2024-08-09 07:48:00.000,75.18,2024-08-09 01:58:00.000 +0200,17640.0,52
"2024-0046910",EA33,Unitrans Supply Chain Sols,CAA419040,2024-08-12 00:50:00.000,2024-08-12 16:39:00.000,91.97,2024-08-12 00:46:00.000 +0200,56940.0,70
"2024-0062543",EB06,Tanker Services Fuel,KP70CRGP,2024-10-23 22:44:00.000,2024-10-24 10:20:00.000,82.39,2024-10-23 22:41:00.000 +0200,41760.0,80
"2024-0062906",EB21,Makwande,KN23LYGP,2024-10-25 14:37:00.000,2024-10-25 20:26:00.000,42.02,2024-10-25 14:35:00.000 +0200,20940.0,85
"2024-0053682",EB21,Unitrans Supply Chain Sols,CAA425307,2024-09-12 11:50:00.000,2024-09-12 18:15:00.000,93.05,2024-09-12 11:44:00.000 +0200,23100.0,245
"2024-0055517",EB21,Makwande,KP09PHGP,2024-09-21 00:35:00.000,2024-09-21 07:06:00.000,88.21,2024-09-21 00:35:00.000 +0200,23460.0,180
"2024-0058390",EA33,Unitrans Supply Chain Sols,CAA548852,2024-10-04 22:08:00.000,,79.26,2024-10-04 19:37:00.000 +0200,,0
"2024-0058527",EB05,Reef Tankers,JN19RYGP,2024-10-05 15:48:00.000,,94.88,2024-10-05 15:47:00.000 +0200,,0
"2024-0047887",EB06,Tanker Services Fuel,KP69WCGP,2024-08-16 09:46:00.000,,71.68,2024-08-16 09:37:00.000 +0200,,0
"2024-0044939",EB21,Makwande,KS49XLGP,2024-08-01 15:15:00.000,,82.29,2024-08-01 15:11:00.000 +0200,,0
"2024-0044939",EB21,Makwande,KS49XLGP,2024-08-01 15:15:00.000,2024-08-02 01:55:00.000,82.29,2024-08-01 15:11:00.000 +0200,38400.0,217
"2024-0044940",EB06,Reef Tankers,HJ73JZGP,2024-08-01 15:17:00.000,,90.99,2024-08-01 14:47:00.000 +0200,,0
"2024-0045360",EA33,Unitrans Supply Chain Sols,CAA130026,2024-08-03 20:33:00.000,,89.01,2024-08-03 20:20:00.000 +0200,,0
"2024-0045360",EA33,Unitrans Supply Chain Sols,CAA130026,2024-08-03 20:33:00.000,2024-08-04 01:20:00.000,89.01,2024-08-03 20:20:00.000 +0200,17220.0,56
"2024-0046719",EB06,Tanker Services Fuel,KP69XNGP,2024-08-10 22:07:00.000,2024-08-11 13:21:00.000,86.36,2024-08-10 21:52:00.000 +0200,54840.0,200
"2024-0047263",EB21,Unitrans Supply Chain Sols,CAA130019,2024-08-13 10:51:00.000,2024-08-13 17:27:00.000,93.71,2024-08-13 10:37:00.000 +0200,23760.0,223
"2024-0049051",EB23,Makwande,KR60ZBGP,2024-08-21 18:55:00.000,2024-08-21 21:51:00.000,52.79,2024-08-21 18:49:00.000 +0200,10560.0,65
"2024-0051901",EB21,Makwande,KNF950MP,2024-09-04 12:44:00.000,,82.54,2024-09-04 12:44:00.000 +0200,,0
"2024-0055146",EB21,Makwande,KN23LXGP,2024-09-19 08:58:00.000,2024-09-19 19:10:00.000,87.16,2024-09-19 08:56:00.000 +0200,36720.0,269
"2024-0056693",EB21,Makwande,KN52WDGP,2024-09-26 19:20:00.000,,86.92,2024-09-26 19:20:00.000 +0200,,0
"2024-0045458",EA33,Unitrans Supply Chain Sols,CAA418992,2024-08-04 13:03:00.000,2024-08-04 18:57:00.000,89.9,2024-08-04 12:58:00.000 +0200,21240.0,112
"2024-0048390",EA35,Unitrans Supply Chain Sols,CAA419011,2024-08-19 07:56:00.000,,51.71,2024-08-19 07:45:00.000 +0200,,0
"2024-0048295",EB06,Tanker Services Fuel,KP69YDGP,2024-08-18 08:35:00.000,,82.04,2024-08-18 08:29:00.000 +0200,,0
"2024-0050021",EA33,Unitrans Supply Chain Sols,CAA425438,2024-08-27 02:31:00.000,2024-08-27 19:57:00.000,92.85,2024-08-27 02:27:00.000 +0200,62760.0,330
"2024-0052618",EA33,Unitrans Supply Chain Sols,CAA548852,2024-09-07 16:11:00.000,2024-09-07 18:18:00.000,78.88,2024-09-07 13:41:00.000 +0200,7620.0,42
"2024-0055588",EB05,Tanker Services Fuel,KP70CBGP,2024-09-21 11:57:00.000,,92.19,2024-09-21 11:49:00.000 +0200,,0
"2024-0046909",EB21,Unitrans Supply Chain Sols,CAA425318,2024-08-11 23:47:00.000,2024-08-12 19:00:00.000,93.1,2024-08-11 23:47:00.000 +0200,69180.0,293
"2024-0051378",EA33,Unitrans Supply Chain Sols,CAA329952,,,79.31,,,267
"2024-0062025",EB21,Makwande,KS49WFGP,2024-10-21 15:54:00.000,2024-10-22 01:20:00.000,81.08,2024-10-21 15:54:00.000 +0200,33960.0,156
"2024-0062025",EB21,Makwande,KS49XBGP,2024-10-21 15:54:00.000,2024-10-22 01:20:00.000,94.79,2024-10-21 15:54:00.000 +0200,33960.0,156
"2024-0063509",EB06,Tanker Services Fuel,KP80NNGP,2024-10-28 12:14:00.000,2024-10-28 20:04:00.000,88.99,2024-10-28 12:04:00.000 +0200,28200.0,66
"2024-0053429",EB05,Tanker Services Fuel,KP70CBGP,2024-09-11 09:48:00.000,,79.66,2024-09-11 09:42:00.000 +0200,,0
"2024-0053552",EB21,Makwande,KN67GLGP,2024-09-11 21:03:00.000,2024-09-11 23:40:00.000,89.31,2024-09-11 21:02:00.000 +0200,9420.0,23
"2024-0044918",EB21,Makwande,KN23LXGP,2024-08-01 12:41:00.000,,85.57,2024-08-01 12:41:00.000 +0200,,0
"2024-0044918",EB21,Makwande,KN23LXGP,2024-08-01 12:41:00.000,2024-08-02 07:24:00.000,85.57,2024-08-01 12:41:00.000 +0200,67380.0,582
"2024-0050489",EB23,Makwande,KNP800MP,2024-08-28 18:11:00.000,,22.68,2024-08-28 18:06:00.000 +0200,,0
"2024-0050489",EB23,Makwande,KNP802MP,2024-08-28 18:11:00.000,,78.94,2024-08-28 18:06:00.000 +0200,,0
"2024-0051465",EB23,Makwande,KPR059MP,2024-09-02 20:00:00.000,,61.41,2024-09-02 20:00:00.000 +0200,,0
"2024-0062324",EA33,Unitrans Supply Chain Sols,CAA425318,2024-10-22 23:30:00.000,2024-10-23 13:58:00.000,92.09,2024-10-22 23:29:00.000 +0200,52080.0,103
"2024-0054798",EA33,Unitrans Supply Chain Sols,CAA130019,2024-09-17 16:42:00.000,2024-09-18 00:29:00.000,71.67,2024-09-17 16:15:00.000 +0200,28020.0,212
"2024-0055698",EB06,Reef Tankers,HJ73JZGP,2024-09-22 05:07:00.000,,93.7,2024-09-22 05:00:00.000 +0200,,0
"2024-0056162",EB06,Tanker Services Fuel,KP80ZYGP,2024-09-24 10:57:00.000,2024-09-24 18:37:00.000,88.34,2024-09-24 10:50:00.000 +0200,27600.0,58
"2024-0056162",EB06,Tanker Services Fuel,KP74KMGP,2024-09-24 10:57:00.000,2024-09-24 18:37:00.000,92.63,2024-09-24 10:50:00.000 +0200,27600.0,58
"2024-0056547",EA35,Unitrans Supply Chain Sols,CAA306835,2024-09-26 07:42:00.000,2024-09-27 06:40:00.000,73.66,2024-09-26 07:42:00.000 +0200,82680.0,522
"2024-0058131",EB06,Makwande,JW33MRGP,2024-10-03 20:39:00.000,,88.33,2024-10-03 20:23:00.000 +0200,,0
"2024-0059403",EA33,Unitrans Supply Chain Sols,CAA425438,2024-10-09 12:17:00.000,2024-10-09 19:34:00.000,93.46,2024-10-09 11:16:00.000 +0200,26220.0,60
"2024-0061236",EB06,Makwande,JW33MRGP,2024-10-17 21:17:00.000,,87.54,2024-10-17 21:15:00.000 +0200,,0
"2024-0045416",EB06,Tanker Services Fuel,BG46WVGP,2024-08-04 10:08:00.000,2024-08-04 20:41:00.000,0.0,2024-08-04 09:57:00.000 +0200,37980.0,129
"2024-0046107",EB21,Makwande,KN23LXGP,2024-08-07 13:22:00.000,2024-08-07 20:40:00.000,82.87,2024-08-07 13:22:00.000 +0200,26280.0,63
"2024-0050488",EB08,Tanker Services Fuel,KP80LYGP,2024-08-28 17:49:00.000,2024-08-29 06:47:00.000,87.02,2024-08-28 17:47:00.000 +0200,46680.0,212
"2024-0051008",EA33,Unitrans Supply Chain Sols,CAA329952,2024-08-31 09:35:00.000,,91.86,2024-08-31 09:31:00.000 +0200,,0
"2024-0053028",EB05,Tanker Services Fuel,KP70CRGP,2024-09-09 16:36:00.000,,90.77,2024-09-09 16:36:00.000 +0200,,0
"2024-0056449",EA33,Unitrans Supply Chain Sols,CAA329932,2024-09-25 16:14:00.000,,87.83,2024-09-25 15:17:00.000 +0200,,0
"2024-0057736",EA33,Unitrans Supply Chain Sols,CAA192673,2024-10-02 01:45:00.000,2024-10-02 10:18:00.000,92.39,2024-10-02 01:40:00.000 +0200,30780.0,35
"2024-0060038",EB06,Tanker Services Fuel,KP70BFGP,2024-10-12 13:31:00.000,2024-10-12 22:14:00.000,79.01,2024-10-12 13:25:00.000 +0200,31380.0,69
"2024-0062874",EA33,Unitrans Supply Chain Sols,CAA418992,2024-10-25 07:54:00.000,2024-10-25 19:58:00.000,93.65,2024-10-25 07:53:00.000 +0200,43440.0,310
"2024-0054221",EB21,Unitrans Supply Chain Sols,CAA457059,2024-09-14 21:00:00.000,2024-09-15 09:54:00.000,94.77,2024-09-14 21:00:00.000 +0200,46440.0,217
"2024-0055618",EA33,Unitrans Supply Chain Sols,CAA425318,2024-09-21 13:35:00.000,2024-09-21 18:38:00.000,90.49,2024-09-21 13:26:00.000 +0200,18180.0,54
"2024-0057629",EB05,Anax Logistics,JDG981EC,2024-10-01 12:05:00.000,,94.28,2024-10-01 12:03:00.000 +0200,,0
"2024-0058695",EA33,Unitrans Supply Chain Sols,CAA329952,2024-10-06 12:59:00.000,2024-10-06 19:42:00.000,65.05,2024-10-06 12:56:00.000 +0200,24180.0,76
"2024-0045154",EB05,Tanker Services Fuel,KP57JXGP,2024-08-02 18:51:00.000,,86.22,2024-08-02 18:44:00.000 +0200,,0
"2024-0058756",EA33,Unitrans Supply Chain Sols,CAA329932,2024-10-06 20:23:00.000,,71.74,2024-10-06 19:14:00.000 +0200,,0
"2024-0061137",EB05,Reef Tankers,JN19RLGP,2024-10-17 09:59:00.000,,93.39,2024-10-17 09:59:00.000 +0200,,0
"2024-0061372",EA33,Unitrans Supply Chain Sols,CAA418992,2024-10-18 13:41:00.000,,48.09,2024-10-18 13:37:00.000 +0200,,0
"2024-0045516",EB06,Tanker Services Fuel,KP80HXGP,2024-08-04 21:10:00.000,2024-08-05 00:28:00.000,57.44,2024-08-04 21:03:00.000 +0200,11880.0,58
"2024-0051240",EB21,Unitrans Supply Chain Sols,CAA130046,,,89.2,,,283
"2024-0055811",EB06,Tanker Services Fuel,KP55MSGP,2024-09-22 20:23:00.000,,92.49,2024-09-22 20:09:00.000 +0200,,0
"2024-0057720",EB06,Tanker Services Fuel,HG68LCGP,2024-10-01 22:35:00.000,2024-10-02 09:47:00.000,94.92,2024-10-01 22:33:00.000 +0200,40320.0,119
"2024-0060973",EB05,Tanker Services Fuel,KP69WYGP,2024-10-16 17:13:00.000,,81.48,2024-10-16 00:00:00.000 +0200,,0
"2024-0052572",EB06,Reef Tankers,HJ29LCGP,2024-09-07 12:44:00.000,,94.17,2024-09-07 12:30:00.000 +0200,,0
"2024-0058717",EB21,Makwande,KS49VWGP,2024-10-06 14:22:00.000,2024-10-06 22:07:00.000,92.08,2024-10-06 14:21:00.000 +0200,27900.0,120
"2024-0058717",EB21,Makwande,KS49WLGP,2024-10-06 14:22:00.000,2024-10-06 22:07:00.000,89.93,2024-10-06 14:21:00.000 +0200,27900.0,120
"2024-0045800",EA35,Unitrans Supply Chain Sols,CAA133421,2024-08-06 08:22:00.000,2024-08-06 13:21:00.000,56.97,2024-08-06 08:01:00.000 +0200,17940.0,149
"2024-0047413",EB06,Tanker Services Fuel,KP69XNGP,2024-08-14 01:25:00.000,2024-08-14 09:46:00.000,86.82,2024-08-14 01:15:00.000 +0200,30060.0,70
"2024-0056734",EB21,Makwande,KN23MGGP,2024-09-27 02:19:00.000,,55.66,2024-09-27 02:19:00.000 +0200,,0
"2024-0046392",EA33,Unitrans Supply Chain Sols,CAA329932,2024-08-08 21:16:00.000,2024-08-09 01:22:00.000,76.33,2024-08-08 20:50:00.000 +0200,14760.0,118
"2024-0046499",EB06,Tanker Services Fuel,KP69YSGP,2024-08-09 13:03:00.000,2024-08-09 20:31:00.000,92.13,2024-08-09 12:54:00.000 +0200,26880.0,75
"2024-0047249",EB21,Makwande,KN31RWGP,2024-08-13 10:17:00.000,2024-08-13 16:05:00.000,73.54,2024-08-13 10:01:00.000 +0200,20880.0,213
"2024-0049846",EB23,Makwande,KR60ZBGP,2024-08-26 08:28:00.000,,88.67,2024-08-26 08:24:00.000 +0200,,0
"2024-0062105",EA33,Unitrans Supply Chain Sols,CAA173582,2024-10-22 00:00:00.000,,94.37,2024-10-21 23:59:00.000 +0200,,0
"2024-0053649",EB05,Tanker Services Fuel,KP69WYGP,2024-09-12 09:25:00.000,,47.27,2024-09-12 09:18:00.000 +0200,,0
"2024-0057652",EB05,Tanker Services Fuel,KP70CBGP,2024-10-01 15:08:00.000,,93.02,2024-10-01 14:54:00.000 +0200,,0
"2024-0061008",EB21,Unitrans Supply Chain Sols,CAA425430,2024-10-16 20:28:00.000,,47.95,2024-10-16 20:28:00.000 +0200,,0
"2024-0044896",EA33,Unitrans Supply Chain Sols,CAA198211,2024-08-01 10:32:00.000,,93.61,2024-08-01 10:26:00.000 +0200,,0
"2024-0044896",EA33,Unitrans Supply Chain Sols,CAA198211,2024-08-01 10:32:00.000,2024-08-01 15:49:00.000,93.61,2024-08-01 10:26:00.000 +0200,19020.0,68
"2024-0062775",EB06,Tanker Services Fuel,KP80HXGP,2024-10-25 01:45:00.000,2024-10-25 20:38:00.000,85.1,2024-10-25 01:17:00.000 +0200,67980.0,210
"2024-0062964",EB21,Makwande,KN23LYGP,2024-10-25 21:22:00.000,2024-10-26 07:50:00.000,83.97,2024-10-25 21:22:00.000 +0200,37680.0,129
"2024-0052707",EB06,Tanker Services Fuel,KP70BFGP,2024-09-08 08:45:00.000,,88.47,2024-09-08 08:36:00.000 +0200,,0
"2024-0050457",EB05,Anax Logistics,JDG641EC,2024-08-28 16:45:00.000,,87.58,2024-08-28 16:33:00.000 +0200,,0
"2024-0058763",EB21,Makwande,KN23LYGP,2024-10-06 20:55:00.000,2024-10-07 00:58:00.000,93.91,2024-10-06 20:55:00.000 +0200,14580.0,85
"2024-0060809",EA33,Unitrans Supply Chain Sols,CAA198199,2024-10-16 01:48:00.000,2024-10-16 10:56:00.000,93.55,2024-10-16 01:46:00.000 +0200,32880.0,90
"2024-0048866",EB06,Tanker Services Fuel,KP69YSGP,2024-08-20 23:27:00.000,2024-08-21 11:30:00.000,93.76,2024-08-20 23:19:00.000 +0200,43380.0,168
"2024-0049681",EB06,Maphalakarabo,FPC349L,2024-08-24 14:50:00.000,,85.76,2024-08-24 14:45:00.000 +0200,,0
"2024-0051904",EA33,Unitrans Supply Chain Sols,CAA140185,,,81.61,,,168
"2024-0053124",EA33,Unitrans Supply Chain Sols,CAA198199,2024-09-10 02:50:00.000,2024-09-10 19:12:00.000,83.65,2024-09-10 02:17:00.000 +0200,58920.0,104
"2024-0056716",EB06,Tanker Services Fuel,HG68LCGP,2024-09-26 21:50:00.000,,90.61,2024-09-26 21:39:00.000 +0200,,0
"2024-0058437",EB23,Makwande,KNM197MP,2024-10-05 08:36:00.000,,94.84,2024-10-05 08:36:00.000 +0200,,0
"2024-0060145",EA33,Unitrans Supply Chain Sols,CAA170724,2024-10-13 02:28:00.000,2024-10-13 12:17:00.000,85.82,2024-10-13 02:26:00.000 +0200,35340.0,122
"2024-0051100",EB21,Makwande,KP75JPGP,2024-08-31 22:14:00.000,,88.26,2024-08-31 22:14:00.000 +0200,,0
"2024-0052025",EB21,Makwande,KP09PHGP,2024-09-04 23:14:00.000,2024-09-05 10:10:00.000,85.02,2024-09-04 23:14:00.000 +0200,39360.0,214
"2024-0062114",EB21,Unitrans Supply Chain Sols,CAA425430,2024-10-22 06:00:00.000,2024-10-22 21:05:00.000,84.94,2024-10-22 02:30:00.000 +0200,54300.0,269
"2024-0052418",EB06,Reef Tankers,LV19ZYGP,2024-09-06 17:42:00.000,,90.29,2024-09-06 17:31:00.000 +0200,,0
"2024-0053086",EB06,Reef Tankers,LV19NYGP,2024-09-09 22:00:00.000,,92.8,2024-09-09 21:54:00.000 +0200,,0
"2024-0055826",EB06,Tanker Services Fuel,HG68LCGP,2024-09-22 22:23:00.000,2024-09-23 11:04:00.000,87.67,2024-09-22 22:16:00.000 +0200,45660.0,107
"2024-0057467",EB05,Anax Logistics,JDG977EC,2024-09-30 16:44:00.000,,94.27,2024-09-30 16:43:00.000 +0200,,0
"2024-0058413",EA33,Unitrans Supply Chain Sols,CAA418992,2024-10-05 02:44:00.000,,88.75,2024-10-05 02:08:00.000 +0200,,0
"2024-0059710",EB06,Reef Tankers,FS67MMGP,2024-10-10 20:24:00.000,,80.57,2024-10-10 18:47:00.000 +0200,,0
"2024-0048850",EB06,Tanker Services Fuel,KP80NNGP,2024-08-20 21:32:00.000,2024-08-21 03:10:00.000,76.54,2024-08-20 21:21:00.000 +0200,20280.0,206
"2024-0044894",EB21,Makwande,KNF950MP,2024-08-01 10:21:00.000,,80.6,2024-08-01 10:21:00.000 +0200,,0
"2024-0047188",EB21,Makwande,KP09PHGP,2024-08-13 02:17:00.000,,88.57,2024-08-13 02:17:00.000 +0200,,0
"2024-0047756",EB08,Tanker Services Fuel,KP69ZRGP,2024-08-15 18:00:00.000,2024-08-16 05:57:00.000,85.97,2024-08-15 15:08:00.000 +0200,43020.0,318
"2024-0052000",EB06,Tanker Services Fuel,KP69YSGP,2024-09-04 22:13:00.000,2024-09-05 10:32:00.000,94.8,2024-09-04 21:37:00.000 +0200,44340.0,150
"2024-0062977",EB21,Unitrans Supply Chain Sols,CAA425430,2024-10-25 22:27:00.000,2024-10-26 08:35:00.000,93.05,2024-10-25 22:27:00.000 +0200,36480.0,199
"2024-0058586",EB21,Makwande,KS49WFGP,2024-10-06 00:01:00.000,2024-10-06 03:00:00.000,57.84,2024-10-06 00:01:00.000 +0200,10740.0,83
"2024-0063739",EA33,Unitrans Supply Chain Sols,CAA130026,2024-10-29 11:45:00.000,2024-10-29 16:09:00.000,71.26,2024-10-29 11:34:00.000 +0200,15840.0,139
"2024-0048019",EB06,ManLine Energy,NP83939,2024-08-16 18:21:00.000,,94.13,2024-08-16 18:07:00.000 +0200,,0
"2024-0049376",EA33,Unitrans Supply Chain Sols,CAA329952,2024-08-23 08:58:00.000,2024-08-23 13:26:00.000,88.8,2024-08-23 08:53:00.000 +0200,16080.0,73
"2024-0052505",EB21,Makwande,KN93YRGP,2024-09-07 03:48:00.000,2024-09-07 19:04:00.000,85.1,2024-09-07 01:17:00.000 +0200,54960.0,273
"2024-0058537",EB06,Reef Tankers,HJ73JCGP,2024-10-05 17:01:00.000,,94.43,2024-10-05 16:36:00.000 +0200,,0
